ParentID,DataID,Name,Path,Level,CountOfItems,SizeOfAllVersions
9025637,8950390,Statistics and Evaluation,Enterprise:xMinistry of Research Science and Technology:Statistics and Evaluation,3,5559,1485571470
9025637,8950391,System Wide Policy,Enterprise:xMinistry of Research Science and Technology:System Wide Policy,3,10397,1845517466
9025637,8950392,Vote RS and T Budget,Enterprise:xMinistry of Research Science and Technology:Vote RS and T Budget,3,1155,172665676
81652357,82022541,2011,Enterprise:xINSITE (Closed):2011,3,87,0
81652357,82023101,2012,Enterprise:xINSITE (Closed):2012,3,661,84722279
81652357,82023002,2013,Enterprise:xINSITE (Closed):2013,3,60,0
81652357,82023010,2014,Enterprise:xINSITE (Closed):2014,3,60,0
81652357,82022685,2015,Enterprise:xINSITE (Closed):2015,3,60,0
81652357,82022911,2016,Enterprise:xINSITE (Closed):2016,3,60,0
81652357,82023912,2017,Enterprise:xINSITE (Closed):2017,3,60,0
81652357,82023151,2018,Enterprise:xINSITE (Closed):2018,3,60,0
81652357,82023159,2019,Enterprise:xINSITE (Closed):2019,3,60,0
81652357,82022613,2020,Enterprise:xINSITE (Closed):2020,3,60,0
81652357,82022621,2021,Enterprise:xINSITE (Closed):2021,3,60,0
81652357,82022629,2022,Enterprise:xINSITE (Closed):2022,3,60,0
81652357,82023079,2023,Enterprise:xINSITE (Closed):2023,3,60,0
81652357,82023740,2024,Enterprise:xINSITE (Closed):2024,3,60,0
81652357,82028000,2025,Enterprise:xINSITE (Closed):2025,3,60,0
81652357,82028009,Employment Relations Authority,Enterprise:xINSITE (Closed):Employment Relations Authority,3,789,91833600
81652357,82028308,KnowledgeBase,Enterprise:xINSITE (Closed):KnowledgeBase,3,44,211600
81652357,82025064,xArchive Information,Enterprise:xINSITE (Closed):xArchive Information,3,1,22
11826037,11826038,Not Filed to Fileplan,"Enterprise:xFoundation for Research, Science and Technology:Not Filed to Fileplan",3,37735,19342237733
11826037,11826040,Personal Workspace Content,"Enterprise:xFoundation for Research, Science and Technology:Personal Workspace Content",3,34110,11358211091
11826037,11826041,Public,"Enterprise:xFoundation for Research, Science and Technology:Public",3,22156,10554905691
11826037,20559791,to be deleted,"Enterprise:xFoundation for Research, Science and Technology:to be deleted",3,0,0
560843,567833,Business Services Branch,Enterprise:xEconomic Development Before 1/1/2007:Business Services Branch,3,9867,1101332269
560843,567973,"Competition, Trade & Investment  - Appraised","Enterprise:xEconomic Development Before 1/1/2007:Competition, Trade & Investment  - Appraised",3,35,0
560843,567945,Economic Strategy Branch,Enterprise:xEconomic Development Before 1/1/2007:Economic Strategy Branch,3,31,1857419
560843,568499,Effective Markets,Enterprise:xEconomic Development Before 1/1/2007:Effective Markets,3,55,5863438
560843,568315,Energy and Communications Branch,Enterprise:xEconomic Development Before 1/1/2007:Energy and Communications Branch,3,137,13573972
560843,576641,Government Economic & Urban Development Office,Enterprise:xEconomic Development Before 1/1/2007:Government Economic & Urban Development Office,3,1,0
560843,567949,Industry and Regional Development Branch,Enterprise:xEconomic Development Before 1/1/2007:Industry and Regional Development Branch,3,5177,742323806
560843,706945,Inquiries,Enterprise:xEconomic Development Before 1/1/2007:Inquiries,3,11,249190
560843,569477,Medium Term Strategy Group,Enterprise:xEconomic Development Before 1/1/2007:Medium Term Strategy Group,3,122,12682848
560843,577048,Ministry of Consumer Affairs,Enterprise:xEconomic Development Before 1/1/2007:Ministry of Consumer Affairs,3,3878,1034323795
560843,818273,Ministry of Tourism,Enterprise:xEconomic Development Before 1/1/2007:Ministry of Tourism,3,1814,696335322
560843,568106,Organisational Devt & Support,Enterprise:xEconomic Development Before 1/1/2007:Organisational Devt & Support,3,10799,1996654132
560843,569401,Regulatory and Competition Policy Branch,Enterprise:xEconomic Development Before 1/1/2007:Regulatory and Competition Policy Branch,3,7111,782219152
560843,569482,Resources and Networks,Enterprise:xEconomic Development Before 1/1/2007:Resources and Networks,3,7503,1149571808
277151,586558,Business Services Branch,Enterprise:xEconomic Development After 1/1/2007:Business Services Branch,3,8855,3762307343
277151,1742747,Chief Executive's Office,Enterprise:xEconomic Development After 1/1/2007:Chief Executive's Office,3,103,51193351
277151,611013,Commercial Solutions Branch,Enterprise:xEconomic Development After 1/1/2007:Commercial Solutions Branch,3,1922,845813018
277151,588988,"Competition, Trade & Investment","Enterprise:xEconomic Development After 1/1/2007:Competition, Trade & Investment",3,4421,960211673
277151,2852614,Documents Migrated from New Zealand Trade and Enterprise,Enterprise:xEconomic Development After 1/1/2007:Documents Migrated from New Zealand Trade and Enterprise,3,983,471208404
277151,1081445,Economic Development Policy Branch,Enterprise:xEconomic Development After 1/1/2007:Economic Development Policy Branch,3,1274,712558582
277151,586573,Economic Strategy Branch,Enterprise:xEconomic Development After 1/1/2007:Economic Strategy Branch,3,1694,537739061
277151,602207,Effective Markets,Enterprise:xEconomic Development After 1/1/2007:Effective Markets,3,1776,580939105
277151,588750,Energy and Communications Branch,Enterprise:xEconomic Development After 1/1/2007:Energy and Communications Branch,3,8714,2342642427
277151,897165,Government Economic and Urban Development Office,Enterprise:xEconomic Development After 1/1/2007:Government Economic and Urban Development Office,3,13,4712648
277151,588455,Industry and Regional Development Branch,Enterprise:xEconomic Development After 1/1/2007:Industry and Regional Development Branch,3,4986,1872489614
277151,601977,Information Technology Group,Enterprise:xEconomic Development After 1/1/2007:Information Technology Group,3,1469,512199116
277151,2438714,MBIE Office of the Acting Chief Executive,Enterprise:xEconomic Development After 1/1/2007:MBIE Office of the Acting Chief Executive,3,6,390911
277151,588486,Ministry of Consumer Affairs,Enterprise:xEconomic Development After 1/1/2007:Ministry of Consumer Affairs,3,1888,637951269
277151,589281,Ministry of Tourism,Enterprise:xEconomic Development After 1/1/2007:Ministry of Tourism,3,1707,1119522718
277151,649335,New Zealand Petroleum & Minerals,Enterprise:xEconomic Development After 1/1/2007:New Zealand Petroleum & Minerals,3,634,143911957
277151,588366,Organisational Development and Support,Enterprise:xEconomic Development After 1/1/2007:Organisational Development and Support,3,10718,3112982126
277151,3354952,Organisational Devt & Support,Enterprise:xEconomic Development After 1/1/2007:Organisational Devt & Support,3,5,159195
277151,588473,Regulatory and Competition Policy Branch,Enterprise:xEconomic Development After 1/1/2007:Regulatory and Competition Policy Branch,3,495,90460913
277151,588403,Resources and Networks,Enterprise:xEconomic Development After 1/1/2007:Resources and Networks,3,503,55037642
277151,1088130,"Tourism, Events and Consumer Affairs Branch","Enterprise:xEconomic Development After 1/1/2007:Tourism, Events and Consumer Affairs Branch",3,2801,1368421906
9917760,9935036,BGM Business Group Management,Enterprise:xDepartment of Labour:BGM Business Group Management,3,1559,2690427044
9917760,15410796,COM Communications & Marketing,Enterprise:xDepartment of Labour:COM Communications & Marketing,3,31,1581977
9917760,9934046,FIN Financial Management,Enterprise:xDepartment of Labour:FIN Financial Management,3,31,6177665
9917760,15409917,GOV Governance,Enterprise:xDepartment of Labour:GOV Governance,3,2496,487914142
9917760,12680337,HRM Human Resource Management,Enterprise:xDepartment of Labour:HRM Human Resource Management,3,1309,230439177
9917760,9911161,IMA Information Management,Enterprise:xDepartment of Labour:IMA Information Management,3,3556,835831818
9917760,15121415,IMM Immigration Management,Enterprise:xDepartment of Labour:IMM Immigration Management,3,11624,1108560638
9917760,16099870,INR International Relations,Enterprise:xDepartment of Labour:INR International Relations,3,141,29781154
9917760,10807386,LGM Legal Management,Enterprise:xDepartment of Labour:LGM Legal Management,3,8575,2974644024
9917760,14724400,Ministerial Services,Enterprise:xDepartment of Labour:Ministerial Services,3,8609,4029258605
